length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo
215360,0.56,0.0594,0.857,0.0,0.381,0.432,-4.145,0.0384,119.975
165853,0.674,0.347,0.937,0.0,0.702,0.834,-4.454,0.0699,96.051
234493,0.657,0.581,0.639,0.0,0.278,0.674,-7.527,0.0412,124.882
200466,0.686,0.0764,0.783,0.0,0.163,0.814,-4.977,0.119,99.978
187920,0.807,0.0573,0.887,2.87e-06,0.124,0.961,-3.726,0.0503,134.052
262146,0.751,0.0206,0.736,0.0,0.265,0.352,-4.168,0.156,130.014
220731,0.796,0.427,0.845,0.000506,0.0567,0.904,-5.365,0.0374,130.231
216896,0.768,0.186,0.517,3.8e-05,0.104,0.418,-4.323,0.0312,104.992
202570,0.811,0.0134,0.935,0.411,0.0244,0.968,-4.595,0.0407,138.479
224258,0.854,0.0242,0.766,0.0,0.0793,0.784,-4.697,0.141,118.004
196173,0.744,0.00328,0.891,0.283,0.143,0.911,-7.271,0.0368,129.978
202266,0.843,0.14,0.881,0.0,0.0765,0.876,-3.951,0.0581,110.621
238706,0.745,0.153,0.869,0.0,0.139,0.963,-4.828,0.0574,125.005
216333,0.528,0.0159,0.886,0.0,0.0758,0.8,-6.249,0.0329,96.001
240773,0.581,0.00424,0.801,0.00171,0.0326,0.692,-12.282,0.0306,128.179
187626,0.672,0.0048,0.907,3.4e-05,0.156,0.746,-5.069,0.0721,128.027
206040,0.768,0.109,0.919,1.14e-06,0.366,0.862,-6.066,0.0416,116.649
192190,0.688,0.0215,0.702,0.0,0.128,0.74,-4.792,0.0499,94.006
254653,0.467,0.0866,0.757,0.0,0.0742,0.383,-3.01,0.0517,131.993
196200,0.592,0.000219,0.842,0.0,0.0934,0.898,-6.681,0.0353,107.015
241066,0.719,0.00225,0.795,0.00664,0.34,0.844,-7.232,0.0387,124.694
278719,0.449,0.0509,0.585,8.75e-05,0.0833,0.212,-6.761,0.0268,139.631
205360,0.663,0.00127,0.95,0.00492,0.0753,0.697,-4.21,0.0621,116.02
237120,0.82,0.0133,0.731,1.94e-05,0.131,0.793,-6.02,0.159,127.076
