danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.355,0.918,1,-4.36,1,0.0746,0.00119,0.0,0.0971,0.24,148.114,audio_features,3n3Ppam7vgaVa1iaRUc9Lp,spotify:track:3n3Ppam7vgaVa1iaRUc9Lp,https://api.spotify.com/v1/tracks/3n3Ppam7vgaVa1iaRUc9Lp,https://api.spotify.com/v1/audio-analysis/3n3Ppam7vgaVa1iaRUc9Lp,222200,4
0.68,0.666,9,-6.953,1,0.115,0.0694,0.0,0.157,0.789,151.995,audio_features,1SLWLZPU1gP4UbJ7RniOFq,spotify:track:1SLWLZPU1gP4UbJ7RniOFq,https://api.spotify.com/v1/tracks/1SLWLZPU1gP4UbJ7RniOFq,https://api.spotify.com/v1/audio-analysis/1SLWLZPU1gP4UbJ7RniOFq,222920,4
0.742,0.713,1,-5.522,0,0.0303,0.0205,0.0,0.059,0.879,120.032,audio_features,4gbVRS8gloEluzf0GzDOFc,spotify:track:4gbVRS8gloEluzf0GzDOFc,https://api.spotify.com/v1/tracks/4gbVRS8gloEluzf0GzDOFc,https://api.spotify.com/v1/audio-analysis/4gbVRS8gloEluzf0GzDOFc,189960,4
0.457,0.823,9,-4.76,1,0.311,0.00144,0.0,0.108,0.578,192.205,audio_features,1QNqrsNQ1JVLEwncov3lEY,spotify:track:1QNqrsNQ1JVLEwncov3lEY,https://api.spotify.com/v1/tracks/1QNqrsNQ1JVLEwncov3lEY,https://api.spotify.com/v1/audio-analysis/1QNqrsNQ1JVLEwncov3lEY,230733,4
0.617,0.906,1,-4.822,1,0.0311,0.000451,0.0,0.0716,0.807,119.016,audio_features,78a5CHuPIXYlPYVQIjH9nc,spotify:track:78a5CHuPIXYlPYVQIjH9nc,https://api.spotify.com/v1/tracks/78a5CHuPIXYlPYVQIjH9nc,https://api.spotify.com/v1/audio-analysis/78a5CHuPIXYlPYVQIjH9nc,191871,4
0.767,0.682,1,-5.02,1,0.042,0.0113,0.00016,0.104,0.833,127.975,audio_features,0C4ejWmOTMv8vuYj85mf8m,spotify:track:0C4ejWmOTMv8vuYj85mf8m,https://api.spotify.com/v1/tracks/0C4ejWmOTMv8vuYj85mf8m,https://api.spotify.com/v1/audio-analysis/0C4ejWmOTMv8vuYj85mf8m,243533,4
0.66,0.867,6,-4.285,0,0.116,0.11,0.0,0.0368,0.377,93.033,audio_features,1QnvpPFP4Q3FHbDchqWiWy,spotify:track:1QnvpPFP4Q3FHbDchqWiWy,https://api.spotify.com/v1/tracks/1QnvpPFP4Q3FHbDchqWiWy,https://api.spotify.com/v1/audio-analysis/1QnvpPFP4Q3FHbDchqWiWy,180480,4
0.652,0.812,3,-3.797,0,0.0409,0.00125,3.01e-05,0.667,0.72,126.023,audio_features,3oHNJECGN3bBoGXejlw2b1,spotify:track:3oHNJECGN3bBoGXejlw2b1,https://api.spotify.com/v1/tracks/3oHNJECGN3bBoGXejlw2b1,https://api.spotify.com/v1/audio-analysis/3oHNJECGN3bBoGXejlw2b1,230733,4
0.654,0.877,1,-2.988,1,0.045,0.025,0.0,0.0699,0.561,118.499,audio_features,4qrSd9NMui1V19MEnIAhj7,spotify:track:4qrSd9NMui1V19MEnIAhj7,https://api.spotify.com/v1/tracks/4qrSd9NMui1V19MEnIAhj7,https://api.spotify.com/v1/audio-analysis/4qrSd9NMui1V19MEnIAhj7,202440,4
0.638,0.832,8,-5.039,1,0.049,0.141,0.0,0.113,0.648,124.071,audio_features,1mXuMM6zjPgjL4asbBsgnt,spotify:track:1mXuMM6zjPgjL4asbBsgnt,https://api.spotify.com/v1/tracks/1mXuMM6zjPgjL4asbBsgnt,https://api.spotify.com/v1/audio-analysis/1mXuMM6zjPgjL4asbBsgnt,227893,4
0.694,0.712,7,-3.923,0,0.046,0.132,0.0,0.211,0.799,98.023,audio_features,1rIKgCH4H52lrvDcz50hS8,spotify:track:1rIKgCH4H52lrvDcz50hS8,https://api.spotify.com/v1/tracks/1rIKgCH4H52lrvDcz50hS8,https://api.spotify.com/v1/audio-analysis/1rIKgCH4H52lrvDcz50hS8,201122,4
0.652,0.749,0,-5.248,1,0.0886,0.0848,0.0,0.604,0.651,94.103,audio_features,34h7O0d0ToOB60zYSFkGKH,spotify:track:34h7O0d0ToOB60zYSFkGKH,https://api.spotify.com/v1/tracks/34h7O0d0ToOB60zYSFkGKH,https://api.spotify.com/v1/audio-analysis/34h7O0d0ToOB60zYSFkGKH,267413,4
