label,name,artist
0,Two Black X's,Dylan Schneider
0,I Could Use a Love Song,Maren Morris
0,Love in a Bar,Ryan Hurd
0,Ring on Every Finger,LOCASH
0,I Won't Give Up,Jason Mraz
0,Last Friday Night (T.G.I.F.),Katy Perry
0,Teenage Dream,Katy Perry
0,Sing,Ed Sheeran
0,Try Everything,Shakira
0,"Faith - From ""Sing"" Original Motion Picture Soundtrack",Stevie Wonder
0,"I'm Still Standing - From ""Sing"" Original Motion Picture Soundtrack",Taron Egerton
0,Faith,Stevie Wonder
0,I Love It (feat. Charli XCX),Icona Pop
0,Marvin Gaye (feat. Meghan Trainor),Charlie Puth
0,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth
0,One Call Away,Charlie Puth
0,Too Much To Ask,Niall Horan
0,Mercy,Shawn Mendes
0,Pompeii,Bastille
0,What About Us,P!nk
0,Bad At Love,Halsey
0,Centuries,Fall Out Boy
0,Centerfold,The J. Geils Band
0,New Year’s Day,Taylor Swift
0,Call It What You Want,Taylor Swift
0,This Is Why We Can't Have Nice Things,Taylor Swift
0,Dress,Taylor Swift
0,Dancing With Our Hands Tied,Taylor Swift
0,King Of My Heart,Taylor Swift
0,Getaway Car,Taylor Swift
0,I Did Something Bad,Taylor Swift
0,Gorgeous,Taylor Swift
0,So It Goes...,Taylor Swift
0,End Game,Taylor Swift
0,Don’t Blame Me,Taylor Swift
0,Delicate,Taylor Swift
0,Look What You Made Me Do,Taylor Swift
0,Stupid,Levi Hummon
0,Almost Over You,Jessie James Decker
0,For The First Time,Darius Rucker
0,Leave Right Now,Thomas Rhett
0,When You Look Like That,Thomas Rhett
0,Drink A Little Beer,Thomas Rhett
0,Low (feat. T-Pain),Flo Rida
0,Never Be the Same,Camila Cabello
0,Lights Down Low,MAX
0,In the Name of Love,Martin Garrix
0,What Lovers Do (feat. SZA),Maroon 5
0,Again (feat. XXXTENTACION),Noah Cyrus
0,Look What You Made Me Do,Taylor Swift
0,Wolves,Selena Gomez
0,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran
0,Sorry Not Sorry,Demi Lovato
0,There's Nothing Holdin' Me Back,Shawn Mendes
0,Long Way Home,5 Seconds of Summer
0,Navigator,MOONZz
0,Take Back Home Girl (Feat. Tori Kelly),Chris Lane
0,Take Back Home Girl (Feat. Tori Kelly),Chris Lane
0,American Teen,Khalid
0,Saved,Khalid
0,8TEEN,Khalid
0,Call Me Maybe,Carly Rae Jepsen
0,Hollaback Girl,Gwen Stefani
0,California Gurls,Katy Perry
0,Fergalicious,Fergie
0,Fifteen,Taylor Swift
0,"Start of Something New - From ""High School Musical""/Soundtrack Version",Troy
0,Before He Cheats,Carrie Underwood
0,One Thing,One Direction
0,Best Song Ever,One Direction
0,Hoedown Throwdown,Miley Cyrus
0,One Time,Justin Bieber
0,Ridin' Solo,Jason Derulo
0,Beautiful Girls - Radio Disney Version,Sean Kingston
0,Style,Taylor Swift
0,...Ready For It?,Taylor Swift
0,Heartbeat Song,Kelly Clarkson
0,Friday Night,Eric Paslay
0,Poker Face,Lady Gaga
0,It's Raining Men - Single Version,The Weather Girls
0,Fight Song,Rachel Platten
0,Starships,Nicki Minaj
0,Hot N Cold,Katy Perry
0,Year 3000,Jonas Brothers
0,Nobody's Perfect - From “Hannah Montana 2”,Hannah Montana
0,She Looks So Perfect,5 Seconds of Summer
0,Only Girl (In The World),Rihanna
0,Fast Car,Tracy Chapman
0,1985,Bowling For Soup
0,Thrift Shop (feat. Wanz),Macklemore
0,All My Friends (feat. Tinashe & Chance the Rapper),Snakehips
0,Rise Up,Andra Day
0,FourFiveSeconds,Rihanna
0,Like A G6,Far East Movement
0,"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg
0,Stereo Hearts - feat. Adam Levine,Gym Class Heroes
0,Cooler Than Me - Single Mix,Mike Posner
0,Gold Digger,Kanye West
0,Love The Way You Lie,Eminem
0,Funky Town,Lipps Inc.
0,Fancy,Iggy Azalea
0,Soak Up The Sun,Sheryl Crow
0,Drop It Like It's Hot,Snoop Dogg
0,All the Above (feat. T-Pain),Maino
0,Good Day,Nappy Roots
0,Live Your Life - feat. Rihanna,T.I.
0,Get Low,Ying Yang Twins
0,rockstar,Post Malone
0,All For You,Sister Hazel
0,Blinded By The Light (Single edit),Manfred Mann's Earth Band
0,Stay,Rihanna
0,Home,Edward Sharpe & The Magnetic Zeros
0,You're Beautiful,James Blunt
0,Beneath Your Beautiful (feat. Emeli Sandé),Labrinth
0,Run Away With You,Big & Rich
0,Mr. Brightside,The Killers
0,I Won't Give Up,Jason Mraz
0,Beautiful,Christina Aguilera
0,Club Can't Handle Me (feat. David Guetta) - From the Step Up 3D Soundtrack,Flo Rida
0,Waterfalls,TLC
0,Rude,MAGIC!
0,I Want It That Way,Backstreet Boys
0,Play That Song,Train
0,I Love Rock and Roll,Joan Jett Tribute Band
0,Lip Gloss,Lil Mama
0,Diamonds,Rihanna
0,Beat It,Michael Jackson
0,Cowboy Take Me Away,The Chicks
0,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN
0,She Will Be Loved,Maroon 5
0,"Footloose - From ""Footloose"" Soundtrack",Kenny Loggins
0,It's Raining Men,The Weather Girls
0,Sk8er Boi,Avril Lavigne
0,All Star,Smash Mouth
0,Let's Get Crazy,Hannah Montana
0,Blank Space,Taylor Swift
0,Bad Blood,Taylor Swift
0,Wildest Dreams,Taylor Swift
0,We Are Never Ever Getting Back Together,Taylor Swift
0,Forever & Always,Taylor Swift
0,Picture To Burn,Taylor Swift
0,Despacito - Remix,Luis Fonsi
0,September,"Earth, Wind & Fire"
0,It Started With a Whisper,U.K. Mix Masters
0,Ignition - Remix,R. Kelly
0,Everytime We Touch,Cascada
0,Find A Way,Amy Grant
0,"Too Much To Ask - Recorded At RAK Studios, London",Niall Horan
0,Drive By,Train
0,Location,Khalid
0,Everytime We Touch,Cascada
0,"Courtesy Of The Red, White And Blue (The Angry American)",Toby Keith
0,Don't,Ed Sheeran
0,The Fresh Prince of Bel-Air,DJ Jazzy Jeff & The Fresh Prince
0,Morocco,Moon Taxi
0,Take A Bow,Rihanna
0,Piano Man,Billy Joel
0,Fresh Eyes,Andy Grammer
0,Irreplaceable,Beyoncé
0,Marry Me,Train
0,Bruises (feat. Ashley Monroe),Train
0,You're The One That I Want - From “Grease”,John Travolta
0,Beautiful Soul,Jesse McCartney
0,Weak,AJR
0,Castle on the Hill,Ed Sheeran
0,Cruise,Florida Georgia Line
0,iSpy (feat. Lil Yachty),KYLE
0,Strip That Down,Liam Payne
0,Thunder,Imagine Dragons
0,Something Just Like This,The Chainsmokers
0,Brand New,Ben Rector
0,Cold Water,Major Lazer
0,Me And My Broken Heart,Rixton
0,New Man,Ed Sheeran
0,Cake By The Ocean,DNCE
0,Treasure,Bruno Mars
0,"Honey, I'm Good.",Andy Grammer
0,Safe And Sound,Capital Cities
0,Payphone,Maroon 5
0,Want to Want Me,Jason Derulo
0,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled
0,Billionaire (feat. Bruno Mars),Travie McCoy
0,These Girls,Why Don't We
0,"Honey, I'm Good.",Andy Grammer
0,Rain Is A Good Thing,Luke Bryan
0,Bottoms Up,Brantley Gilbert
0,Jumpman,Drake
0,Don't Stop Believin',Journey
0,Twist And Shout - Remastered 2009,The Beatles
0,Jessie's Girl,Rick Springfield
0,Eye of the Tiger,Survivor
0,Back In Black,AC/DC
0,Crazy Train - 2002 Version,Ozzy Osbourne
0,Sweet Child O' Mine,Guns N' Roses
0,Any Way You Want It,Journey
0,Backroad Song,Granger Smith
0,Tennessee River Run,Darryl Worley
0,Knee Deep (feat. Jimmy Buffett),Zac Brown Band
0,Song of the South,Alabama
0,Colder Weather,Zac Brown Band
0,Dixieland Delight - Single Edit,Alabama
0,Mountain Music,Alabama
0,Boys 'Round Here (feat. Pistol Annies & Friends),Blake Shelton
0,Sangria,Blake Shelton
0,"Speakers, Bleachers And Preachers",Brandon Lay
0,"God, Your Mama, And Me",Florida Georgia Line
0,When She Says Baby,Jason Aldean
0,"Take Me Home, Country Roads - Rerecorded",John Denver
0,"John Cougar, John Deere, John 3:16",Keith Urban
0,The Boys of Fall,Kenny Chesney
0,Parking Lot Party,Lee Brice
0,I'll Fly Away,Randy Travis
0,Blue Tacoma,Russell Dickerson
0,Cop Car,Sam Hunt
0,Speakers,Sam Hunt
0,Cotton Eye Joe,Rednex
0,If You're Gonna Play in Texas (You Gotta Have a Fiddle in the Band),Alabama
0,I'm in a Hurry (And Don't Know Why),Alabama
